# Erdal Ronahî <www.ferheng.org>
# Letzte Version: 2005-07-29
# Kurdisch	Deutsch
# Kurdî	Elmanî
çav-tirs	schüchtern
çav-tirs	zurückhaltend
çavberdan	revidieren
çavberdan	überprüfen
çavbirçi	gefräßig
çavbirçî	gierig
çavbirçî	habsüchtig
çavdêr	Aufseher
çavdêr	Beobachter
çavdêr	Kontrolleur
çavdêrî	Observation
çaveş [mê]	Augenschmerz [m.]
çavêrî	Achtsamkeit
çavfireh	großzügig
çavik	Brille
çavikên têlvizyonê	Fernsehkameras
çavî	Nische
çavî	Quelle
çavî	Raum
çavî	Vorhang
çavî	Zimmer
çavî 	Loch
çavkanî	Bibliographie
çavkanî	Quelle
çavlêbûn	spähen
çavlêgerandin	Revision
çavlêgerandin	Überprüfung
çavnebar	begierig
çavnebar	eifersüchtig
çavnebar	neidisch
çavnebarî	Eifersucht
çavqurçonek	ein mit Lehm in den Augen Gehender, ein Spiel, bei dem  einem Mitspieler die Augen verbunden werden
çavreş	eifersüchtig
çavreş	neidisch
çavreş	schwarzäugig
çavrê	Erwartung
çavrê	Glückwunsch
çavrê	Gratulation
çavronahî	Erwartung
çavronahî	Glückwunsch
çavronahî	Gratulation
çavsivik	liebevoll
çavsor	grausam
çavteng	kleinlich
çavteng	meinen
çaw	Stange
çawa	wie
çawa ku	sobald
çawanî	Qualität
çawdar	Kaufmann
çawdar bikirçî	Hammelaufkäufer
çawiş	Feldwebel
çawiş	Sergeant
çawiş	Unteroffizier
çawiş	Wachtmeister
çax	Zeit
çaxa	wenn (zeitl.)
çaxa ku	als (zeitl.)
çaxtê	wann
çayir	Weideland
çayir	Wiese
çayxane	Café
çe kirin	bauen
çebilk lêxistin	applaudieren
çebilk lêxistin	klatschen
çebûwar	künstlich
çejdar	Geschmack
çek	Kleidung
çek	Rüstung
çek	Scheck
çek	Waffe
çek [nêr]	Anzug [m.]
çek rihal	Waffenausrüstung
çek-rehal	Ausrüstung
çek-rehal	Gewehr
çek-rehal	Waffe
çekbend	Weste
çekdar	angriffslustig
çekirin	stürzen
çekirin	werfen
çekirî	bebaut
çekûz	geizig
çel	Abschrift
çel	Brunnen
çel	Exemplar
çel	gesprenkeltes Pferd
çel	Graben
çel	Grube
çel	Höhle
çel	Kopie
çel	Loch
çel	vierzig
çel	Zweig
çel kirin	ein tiefes Loch graben
çel kirin	tief graben
çele	die vierzig Tage in der Mitte jeder Jahreszeit
çeleng	aktiv
çeleng	elegant
çeleng	flink
çeleng	graziös
çeleng	hübsch
çeleng	lebhaft
çeleng	mutig
çelqandin	schütteln
çelqîn <çelq>	hin und her geworfen werden
çelqîn <çelq>	umgerührt werden
çelrojkî	Vierzig-Tage-Periode nach Geburt, Hochzeit, Tod
çelroşkî	vierzig Tage des Wochenbettes
çelûs	starrköpfig
çelziman	redselig
çem	Bach
çem	Fluß
çemandin	winden
çembil	Ärmel
çembil	Kreis
çembil	Runde
çembil	Stiel
çemçûs	knauserig
çemel	Arm
çemel	Ärmel
çemel	Kreis
çemel	Runde
çemel	Zweig
çemil	Kreis
çemil	Runde
çemil 	Ärmel
çen	Biegung
çen	Ecke
çen	Ende
çen	Kinn
çen	Unterkiefer
çen	Vorsprung
çena jêrin	Unterkiefer
çençûz	kleinlich
çend	ein paar
çend	etliche
çend	Wie viel
çend	wie viele
çende	einiges
çende	genug
çende	so viel
çendek	Weile
çendînî	Quantität
çenebaz	schwatzhaft
çeng	Achsel
çeng	Arm
çeng	Hand
çeng	Handfläche
çeng	Handinnenfläche
çeng	Unterarm
çeng	wie
çengeldank	Kupplung
çente	Koffer
çep	links
çep	verkehrt
çepel	schmierig
çepel	schmutzig
çeper	Hecke
çeper	Mauer
çeper	Schutzvorrichtung
çeper	Zaun
çepik	Applaus
çepik	Beifall
çepik lêxistin	applaudieren
çepik lêxistin	klatschen
çepiklêdan	applaudieren
çepil	Arm
çepil	Oberarm
çeqel	Schakal
çeqelî	kleiner Teil einer Traube
çeqem	Eibe
çeqem	Wacholder
çeqem	Zeder
çeqmaq	Feuerstein
çeqmaq	Feuerzeug
çer	wie
çerez	Beilage
çerez	Imbiss
çerez	Knapperzeug
çerez	Nachspeise
çerez	Nüsse
çerez	Vorspeise
çerm	Haut
çerm	Leder
çerm	Tierhaut
çerx	Achse
çerx	Feuerzeug
çerx	Mühlrad
çerx	Mühlstein
çerx	Rad
çerx	Reifen
çerx	Weltall
çerxetûn	Bratpfanne
çespandin	beweisen
çespandin	definieren
çetel	Gabel
çetin	hart
çetin	kompliziert
çetin	mühsam
çetin	rau
çetin	schwer
çetin	schwierig
çetin	steil
çetin	uneben
çetinî	Beschwerlichkeit
çetinî	Schwierigkeit
çetîn	kompliziert
çetîn	mühsam
çetîn	schwer
çetîn	schwierig
çev burî	Augenbraue [f.]
çev lê ketin	erblicken
çev lê ketin	zu Gesicht bekommen
çev lê ketin 	bemerken
çevder	Roggen
çevî	Loch
çevî	Nische
çevî	Raum
çevî	Zimmer
çevronka	Erwartung
çevronka	Glückwunsch
çevronka	Gratulation
çewal	Sack
çewdar	Kaufmann
çewiş	Obergefreiter
çewsandin	zerstampfen
çewsîner	Tyrann
çewt	durcheinander
çewt	gedankenlos
çewt	schlecht
çewt	übel
çewt	unrecht
çewtî	Fehler
çexer	Fuß
çê	gut
çê kirin	anfertigen
çê kirin	herstellen
çê kirin	machen	(herstellen)
çê kirin	machen
çê kirin	malen
çê kirin	reparieren
çêbûn	geschehen
çêbûn	werden
çêj	Geschmack
çêjandin	kosten
çêjik	Kind
çêker	Hersteller/in
çêker	Schöpfer/in
çêkirin	herstellen
çêkirin	schaffen
çêkirin	verrichten
çêkirin	vorbereiten
çêkirin <çê...k>	aufbauen
çêlek	Kuh
çêr	Beleidigung
çêr	Bericht
çêr	Erzählung
çêr	Fluch
çêr	Verwünschung
çêr kirin	verfluchen 
çêr kirin	verwünschen
çêran	grasen
çêran	weiden
çêrandin	grasen lassen
çêrandin	weiden
çêre	Gras
çêre	Weide
çêre	Wiese
çêregeh	Weide
çêrîn	sich weiden
çêrîn <çêr>	Futter suchen
çêrîn <çêr>	grasen
çêrîn <çêr>	weiden
Çêrîya Paşin	November
Çêrîya Pêşin	Oktober
çêrlêkirin	beleidigen
çêrlêkirin	fluchen
çêtir	besser
çêtîkirin	zerreißen
çêyî	Bevorzugung
çêyî	Entgegenkommen
çêyî	Gefallen
çêyî	Gunstbezeugung
çêyî	Güte
çêyî	Liebesdienst
çêyî	Ruhe
çêyî	Zufriedenheit
çêyî bi yekî kirin	jdm einen Gefallen erweisen
çi	was
çi bibe bila bibe	komme, was da wolle
çi bibe bila bibe	was auch sein mag
çi dibe bila bibe	auf jeden Fall
çi hebû çi tûne bû	es war einmal
çi heyf	schade
çi ogita	sehr gern
çi teva bûn	was macht das schon!
çi teva bûn	was soll das heißen!
çi...pêketin	hineingeraten
çi...pêketin	zu schaffen haben
çiçik	Brust
çik	Stechen
çik	Stich
çik kirin	festkrallen
çik kirin	hineinschlagen
çik kirin	hineinstechen
çikandin <çikîn>	austrocknen
çikandin <çikîn>	ersticken
çikandin <çikîn>	verbieten
çikandin <çikîn>	verhindern
çikandin <çikîn>	verweigern
çikandin <çikîn>	wegnehmen
çikiyan <çik>	festsetzen, sich ~
çikiyan <çik>	krallen, sich ~
çikiyan <çik>	stecken bleiben
çikîn <çik>	austrocknen
çikîn <çik>	erschöpfen
çikîn <çik>	verbrauchen
çiko	da
çiko	denn
çiko	weil
çikosî	Knickerigkeit
çikosî	Selbstsucht
çiksayî	himmelblau
çiksayî	sehr klar
çiksayî	wolkenlos
çiksayî	wolkloses Himmel
çiku	da
çiku	denn
çiku	weil
çikyan <çik>	austrocknen
çikyan <çik>	erschöpfen
çikyan <çik>	verbrauchen
çil	Exemplar
çil	gesprenkeltes Pferd
çil	Kopie
çil	vierzig
çil	Zweig
çilape kirin	hopsen
çilape kirin	springen
çilape kirin	springen lassen
çile	die vierzig Tage in der Mitte jeder Jahreszeit
Çile	Januar
çile-qerqaş	ganz weiß
çilek	gefräßig
çilemîn	vierzigste
Çileya Pêşin	Dezember
çilfisandin	klauen
çilfisandin	stehlen
çilîçilî	Fledermaus
çilk	Tropfen
çillekî	Gefräßigkeit
çillekî	Gier
çillekî	Habsucht
çilmisî	bleich
çilmisîn <çilmis>	dörren
çilmisîn <çilmis>	verblühen
çilmisîn <çilmis>	verwelken
çilo	wie
çim	Bein
çima	warum
çima	wieso
çimkî	da
çimkî	denn
çimkî	deshalb
çimkî	wegen
çimkî	weil
çingeçing	Flüstern
çinîn	mähen
çinyaz	Leiche
çinyaz	sterbliche Überreste
çiqas	wie viel
çiqas	wie viele
çiqas	wieviel
çiqas ku	obwohl
çiqas ve	seit wann
çiqil	Ast
çiqil	Zweig
çiqinî	Verstopf
çiqinîbûn	Verstopf haben
çira	Lampe
çira	warum
çirandin	zerreißen
çirandin <çirîn>	aufreißen
çirandin <çirîn>	zerfetzen
çirandin <çirîn>	zerreißen
çirçîrok	Märchen
çire	Lampe
çirisîn <çiris>	funkeln
çirisîn <çiris>	glänzen
çirisîn <çiris>	leuchten
çirisîn <çiris>	strahlen
çirîn	reißen
çirîn <çir>	zerrissen werden
çirk	Sekunde
çirkin	kraftlos
çirkin	schwach 
çirkî	kraftlos
çirkî	schwach
çirmîş	auseinandergefallen
çirmîş	schlecht geworden
çirmîş	verdorben
çirpî	kleine Zweige
çirrîn	Riss
çirrûk	falsch
çirrûk	gerissen
çirûsîn	strahlen
çirûsk	Funke
çirûskîn <çirûsk>	leuchten
çirûskîn <çirûsk>	sprühen
çirûskîn <çirûsk>	strahlen
çito	warum
çito	wie
çito	wieso
çivîk	Sperling
çivîk	Vogel
çiya	Berg
çiyakeş	Bergsteiger/in
çiyê bela-sebeb	grundlos
çiyê bela-sebeb	ohne Grund
çîk	Ding
çîkî	funkelnd
çîkî	leuchtend
çîl	ganz
çîl	leuchtend
çîlik	Tropfen
çîmen	Rasen
çîmen	Wiese
çîmento	Zement
çîn	Kategorie
çîn	Klasse
çînayetî	kategorisch
çînayetî	klassenbezogen
çîp	Unterschenkel
çîp	Wade
çîqal	dünn
çîqal	schwach
çîrik	Trockenfrucht
çîrok	Geschichte	f
çîrok	Gutenachtgeschichte
çîrokbêj	Geschichtenerzähler
çîrokbêj	Geschichtenerzähler/in
çîroknivîs	Geschichtenschreiber
çît	bedruckter Kattun
çît	Stoff
çît	Tuch
çîtî	Bissen
çîtî	Stück
çîzik	Strich
ço	Stab
ço	Stange
ço	Stock
çoçik	Schöpfer
çogan	Stange
çok	Knie
çok dan erdê	beharren
çok dan erdê	niederknien
çok dan erdê	trotzen
çok dan erdê	widerstehen
çok şikênandin <şikên>	die Knie beugen
çok şikênandin <şikên>	in die Hocke gehen
çokêş	Knieschmerz
çol	Einöde
çol	Steppe
çol	unbewohntes Land
çol	Wildnis
çol	Wüste
çolik	Toilette
çolvan	Nomade
çomax	Knüttel
çomax	Schläger
çomax	Stab
çong	Knie
çop	Abfall
çopilme	Nieswurz
çopilme	Tierkrankheit, an der Brust auftretend
çopîk	blöde
çopîk	dumm
çorbe	Suppe
çors	hart
çors	unverschämt
çortan	ein Käse aus Quark gemacht
çoş	Getöse
çoş	Kochen
çoş	Sieden
çoşîn <çoş>	kochen
çoşîn <çoş>	sieden
çoşîn <çoş>	tosen
çoşîn <çoş>	wüten
çur	dunkelblond
çur	fuchsrot
çûk	Vogel
çûl	grober Stoff
çûl	Lager
çûl	Unterkunft
çûl 	Pferdedecke
çûn	abfahren
çûn	Abfahrt
çûn	Gang
çûn <ç>	gehen
çûn ava	Untergehen (Sonne)
çûn gerê	spazieren gehen
çûn hatin	bewegen, sich ~
çûn hatin	in Aktion sein
çûn rûyê	küssen (zur Begrüßung)
çûn rûyê kesî	küssen
çûr	blond
çûr	dunkelblond
çûr	fuchsrot
çûreçûr	hängend
çûrê	Sorte
çûx	Material
çûx	Stoff
çûyin	Gang
çûyîn <ç>	gehen
da	Mutter
da ku	damit
da ku	um zu
da-	Vorsilbe: 'nach unten'
dab	Falle
dab	wildlebendes Tier
daba	wildlebendes Tier
dabaş	Thema
dabaş	Untersuchung
dabelandin <da...belîn>	hinunterschlucken
dabelandin <da...belîn>	schlucken
dabelandin <da...belîn>	verschlingen
daberizîn	angreifen
dabeş	Stück
dabeş	Teil
dabeşkirin	teilen
dabeşkirin	verteilen
dabêlandin	schlucken
dabir	Apostroph
dabînkirin	garantieren
dabînkirin	in Sicherheit bringen
daçek	Präposition
daçikandin	nähen
daçikandin <da...çikîn>	anbauen
daçikandin <da...çikîn>	bauen
daçikandin <da...çikîn>	einpflanzen
daçikandin <da...çikîn>	pflanzen
dad	Anspruch
dad	Gerechtigkeit
dad	Recht
dadan	abschließen
dadan	bedecken
dadan <da...d>	abschließen
dadan <da...d>	anbeißen
dadan <da...d>	erhaschen
dadan <da...d>	festsetzen, sich ~
dadan <da...d>	greifen
dadan <da...d>	hinstellen
dadan <da...d>	packen
dadan <da...d>	schließen
dadan <da...d>	schnappen
dadan <da...d>	setzen, sich ~
dadan <dadide>	anzünden (Feuer)
dadan >da...d>	beißen
dadgeh	Gericht
dadger	Richter/in
dadkirin	Recht sprechen
dadkirin	urteilen
dadyane	gerecht
daf	Falle
daf	Schlinge
dageriyan <da...ger>	umkehren
dageriyan <da...ger>	vergehen
dageriyan <da...ger>	verstreichen
dageriyan <da...ger>	vorbei gehen
dageriyan <da...ger>	wieder anfangen
dageriyan <da...ger>	wieder gehen
dageriyan <da...ger>	zurückkehren
dagerîn <da...ger>	umkehren
dagerîn <da...ger>	wieder anfangen
dagerîn <da...ger>	wieder gehen
dagerîn <da...ger>	zurückkehren
dagirker	Besatzer
dagirkirin	besetzen
dagirtin	füllen
dagirtin <da...gir>	aufladen
dagirtin <da...gir>	füllen
dagirtin <da...gir>	stopfen
dagirtin <da...gir>	voll gießen
dagirtin <da...gir>	voll machen
dagirtî	gefüllt
dagirtî	voll
dahatin	herabsteigen
dahatin	hinunterkommen
dahatin	schneien
dahatû	Zukunft
dahênan	erfinden
dahênan	erschaffen
dahêner	Erfinder
dahf	Falle
dahf	Schlinge
dahol	Trommel
daholjen	Trommelspieler
daholjen	Trommler
dahûrandin	analysieren
dahûrin	Analyse
dahûrin	Lösung
daketin	abfallen
daketin	abnehmen
daketin	abschließen
daketin	absinken
daketin	aussteigen
daketin	herabfallen
daketin	herabsteigen
daketin	herunterkommen
daketin	hinuntersteigen
daketin	verringern
dakirin	Durchsieben
daleqandin	aufhängen
daliqandin	aufhängen
daliqandin <daliqîn>	herabhängen lassen
daliqîn <daliq>	aufhängen
daliqîn <daliq>	hängen
daliqîn <daliq>	herunterhängen
dalqin <da...leq, da...liq>	hängen
daman	Rock
damar	Ader
dame	Damespiel
damezrandin	aufbauen
damezrandin	gründen
damezrîner	Gründer
damezrîner	Gründerin
damilandin	ein Auge zudrücken
dan	bezahlen
dan	geben
dan	schlagen (einander)
dan agah kirin	angeben
dan alîkî	unterdrücken
dan benda kesekî	dem Verbot jds entsprechen
dan benda kesekî	unterwerfen, sich jdm ~
dan ber çavan	ausdrücken
dan ber çavan	bekannt machen
dan ber çavan	erklären
dan ber çavan	mitteilen
dan ber hev	vergleichen
dan ber xwe	beeinflussen
dan ber xwe	vor sich hergehen lassen
dan ber xwe	vor sich hertreiben
dan ber xwe	zielen auf
dan ber xwe	zum Ziel haben
dan bin lingan	entschuldigen
dan bin lingan	niedertrampeln
dan dû	folgen
dan dû	verfolgen
dan dûv	folgen
dan dûv	verfolgen
dan hev	zusammenfügen
dan ser	denken
dan ser	hinzufügen
dan ser	planen
dan ser	vorbereiten
dan ser 	meinen
dan xebatê	anwenden
dan xebatê	ausnützen
dan xebatê	benutzen
dan xebatê	brauchen
dan xebatê	einsetzen
dan xebatê	gebrauchen
dan xebatê	verwenden
dan zanîn	angeben
dan zîtan	ausschlagen (mit den Hufen)
danasîn	Vorstellung
dander	verspielen
dane	Angabe
dane	Daten
dane	die Hälfte einer Reise
dane	Stück
dane	Zeitspanne
dane berhev	gegenüberstellen
dane berhev	vergleichen
dane pey	folgen
danê evarê	der Abend (zwischen 16:00 und 24:00 Uhr)
danişcû	Bevölkerung
daniştin	sitzen
danîn	abliefern
danîn	abstellen
danîn	hinlegen
danîn	legen
danîn	stellen
danîn <da..tîn, deyne, neyne>	gründen
danîn <da..tîn, deyne, neyne>	hinlegen
danîn <da..tîn, deyne, neyne>	legen
danîn <da..tîn, deyne, neyne>	niederlegen
danîn <da..tîn, deyne, neyne>	schließen
danîn <da..tîn, deyne, neyne>	setzen
danîn <da..tîn, deyne, neyne>	stellen
danîşok	Stuhl
danûstandin	Austausch
danûstandin	Beziehung
danûstandin	Dialog
danûstandin	Einkauf
danûstandin	Geben und Nehmen
danûstandin	Handel
danzanîn	berichten
danzdeh	zwölf
dapalandin	sieben
dapalîn	tropfen
dapîr	Großmutter
dapîr	oma
daqim	Anzug [m.]
daqoq	Holzhammer
daqultandin <da...qultîn>	hinunterschlucken
daqultandin <da...qultîn>	schlucken
daqultandin <da...qultîn>	verschlingen
daqultandin <da...qultîn>	verschlucken
daqurtandin <da...qurtîn>	hinunterschlucken
daqurtandin <da...qurtîn>	schlucken
daqurtandin <da...qurtîn>	verschlucken
daqûl bûn	niederwerfen, sich ~
daqûl bûn	verbeugen, sich ~
daqûlbûn	beugen
dar	Ast
dar	Baum
dar	Holz
dar	Holzstück
dar	Nachsilbe ....
dar û ber	alle Pflanzen eines Gebietes
dar û ber	Baumgruppen
dara	finanziell
dara	Geld-
dara	geldlich
dara	reich
dara	wohlhabend
dara çira	harziges Holz
dara çira	Kienspan
daranîn	herausbringen
daranîn	hervorbringen
darayî	Finanz-
darayî	finanziell
darbest	Sarg
darçîn	harziges Holz
darçîn	Kiefer (Baum)
darçîn	Kienspan
darçîn	Zimt
darda kirin	aufhängen
darda kirin	hängen
darda kirin	herunterhängen
dardakirin	aufhängen
dardakirin	aufknüpfen
darde kirin	aufhängen
dardekirin	ausführen ...
dare	finanziell
dare	Geld-
dare	geldlich
dare	reich
dare	wohlhabend
darê dinyayê	Erde
darêjtin	erschaffen
darik	Holzstöckchen
darik	Zahnstocher
darikê kirbîtê	Streichholz
daristan	Forst
daristan	Wald
darizandin	urteilen
darî kirin	darstellen
darîn	hölzern
darkutik	Specht
darve kirin	aufhängen
darxistin	Gerüst aufbauen
das	Sichel
dasî	Gräte
daskeş	Sichelmacher
daşir	Toilette
daveke spî	weißer Gurt
daveke spî	weißer Riemen
davê spî	weißes Netz
daw	Rock
daw	Rockschoß
daw	Saum
daw û deling hildan	Rock und Hose schürzen
dawa	Anspruch
dawa	Forderung
dawa	Klage
dawerivandin	abspülen
dawerivandin	spülen
dawerivîn	sich spülen
dawestîn	aufstehen
daweşandin <da...weşîn>	abschütteln
daweşandin <da...weşîn>	ausschütteln
daweşandin <da...weşîn>	schütteln
daweşîn <da...weş>	abschütteln
daweşîn <da...weş>	schütteln
dawet	Bankett
dawet	Festessen
dawet	Festschmaus
dawet	Hochzeit
dawet	Hochzeitsfeier
dawên	Rock
dawên	Rockschoß
dawên	Saum
dawişandin <dawişîn>	ausschütteln
dawişandin <dawişîn>	schütteln
dawî	Abschluss
dawî	Ende
dawî	hinter
dawî	letzte
dawî	letzter
dawî	letztes
dawî	Schluss
dawî hatin	alle
dawîlenîn	beenden
dawîlêhatin	schließen
dawîlêhatin	zu Ende gehen
dawîya heftîye	Wochenende
dax	Traurigkeit
daxbar	traurig
daxistin	abladen
daxistin	abnehmen
daxistin	abwerten
daxistin	herabnehmen
daxistin	herunterladen
daxistin <da...x>	hinterbringen
daxistin <da...x>	hinunterbringen
daxistin <da...x>	senken
daxul bûn	niederwerfen, sich ~
daxul bûn	verbeugen, sich ~
daxuyandin	erklären
daxuyanî	Achtung
daxuyanî	Erklärung
daxwarin	gehorchen
daxwarin	sich unterwerfen
daxwaz	Bitte
daxwaz	Forderung
daxwaz	Nachfrage
daxwaz	Wille
daxwaz	Wunsch
daxwazî	Wunsch
daxwazname	Antrag
dayende	Geber
dayende	Geberin
dayê	Mutter
dayik	Mutter
dayin	bezahlen
dayîk	Mutter
dayîn	abgeben
dayîn	geben
dayîre	Abteilung
de	also
de	am Ende
de	endlich
de	ja
de	nun
de	sogar
de'w	Anspruch
de'w	Forderung
de'w	Klage
de'wa	Anspruch
de'wa	Disput
de'wa	Forderung
de'wa	Gerechtigkeit
de'wa	Klage
de'wa	Schlacht
de'wa	Schlägerei
de'wa	Streit
deba	Anspruch
deba	Gerechtigkeit
debar	Auskommen
debar	Bedarf
debar	Einkommen
debar	Lebensunterhalt
debar	Projekt
debar	Unterhalt
debar	Vorhaben
debara xwe kirin	auskommen
debara xwe kirin	den eig. Unterhalt bestreiten
debe	wildes Tier
debeng	dumm
debeng	idiot
debetî	Wahrscheinlichkeit
debir	Bedarf
debir	Lebensunterhalt
debr	Auskommen
debr	Futtervorrat
debr	Lebensunterhalt
debr	Projekt
debr 	Vorhaben
def	Abweisung
def	eine Tamburinart
def	Schellentrommel
def	Tamburin
def	zurückgezogene Lebensweise
def	Zurückweisung
defandin	stoßen
defê spî	weißes Netz
deffe	Antlitz
deffe	Gesicht
deffe	Seite
defin	Beerdigung
definkirin	beerdigen
defter	Heft
defter	Notizbuch
defter	Register
defter	Verzeichnis
degel	komisch	adj:
degel	spaßig
degîş bûn	verändern, sich ~
degîş kirin	verändern, etw. ~
deh û şeş	sechzehn
dehî	Opfer
dehî	Opfertier
dehret	Reinigung
dehret	Waschung
dejnik	Kresse
dek	Gewandtheit
dek	List
dek	listenreich
dek	listig
dek	schlau
dek	Schlauheit
dek û dolab	Betrug
dek û dolab	Schwindel
dek û dolab	Tricks
dek û dolap	Betrug
dek û dolap	Schema
dek û dolav	List und Tücke
dekûdolab	Kapriole
dekûdolab	Laune
dekûdolab	Unberechenbarkeit
dekûdolap	Betrug und Hinterlist
dekûdolap	Tricks
delakxane	Friseurgeschäft
delakxane	Perückenmachergeschäft
delal	Bote
delal	Herold
delal	lieb
delal	liebenswert
delal	liebenswürdig
delal	nett
delal	schön
delal	zart
delalî	Liebe
delalî	Zärtlichkeit
delalî	Zuneigung
delekxane	Friseurgeschäft
delekxane	Perückenmachergeschäft
deleme	beunruhigt
deleme	seelischer Kummer
delik	Falle
delik	List
delîve	Gelegenheit
delîve	Möglichkeit
delk	Falle
delk	Gewandtheit
delk	Hinterlist
delk	Kriecherei
delk	List
delk	listenreich
delk	listig
delk	schlau
delk	Schlauheit
delk	Schmeicheln
delk	Trick
dem	Augenblick [m.]
dem	Datum
dem	Moment
dem	Weile
dem	Zeit
dem	Zeitpunkt
dem û dezgeh	Einrichtung
dem û dezgeh	Organisation
dem û dezgeh	Vereinigung
dema bê	Zukunft
dema dirêj	lange Zeit
dema esir	am Spätnachmittag
dema ku	als
dema ku	als (zeitl.)
dema ku	wenn (zeitl.)
dema ku	zu jener Zeit, als...
deman	Miete
demandar	Mieter
demandar	Mieterin
demankar	Vermieter
demankar	Vermieterin
demankirin	mieten
dembûhêrk	Geschwätz
dembûhêrk	Gespräch
demdemî	unbeständig
demdemî	vorübergehend
demek şûnda	bald
demekê de	zugleich
demekî	früher
demekî	vor langer Zeit
demîn	zeitweilig
demjîmer	Uhr
demode	altmodisch
demsal	Jahreszeit
dençî	Färber
dendik	Kern
dendik	Samen
deng	Geräusch
deng	Laut
deng	Stimme
deng	Tierlast
deng ketî	heiser
deng lê kirin	rufen
deng lê kirin	zurufen
deng pê ketin	klingen
deng pê ketin	zu hören sein
dengbej	Barde
dengbêj	Sänger
dengbêj	Volkssänger
dengbêj	Volkssängerin
dengdan	abstimmen
dengdan	Abstimmung
dengdan	anrufen
dengdan	ansprechen
dengdan	aufrufen
dengdan	Wahl
dengdan	Wählen
dengîn	Betonung
dengkirin	aufrufen
dengkirin	sprechen
denglêkirin	anrufen
denglêkirin	ansprechen
dengûbas	Nachrichten
dengvedan	Echo
dengvedan	Widerhall
depoxane	Werkstatt
depreş	Tafel
deq	Punkt
deq	Tätowierung
deq	Text
deqaq	Bügeleisen
deqe	Minute	f	 (arab.)
deqel	harte Erde
deqel	harter Boden
deqîqe	Minute	f	 (arab.)
deqkirin	tätowieren
deqlûs	Salto
der	Außenseite
der	außer
der	draußen
der	Gegend
der	heraus
der	hinaus
der	Ort
der	Pforte
der	Platz
der	Tor
der	Tür
der avê	Tränke
der avê	Wassertrog
der bar	betreffend
der bar	über
der bi der	hierhin und dorthin
der bi der	von Ort zu Ort
der û dor	Umgebung
der xistin	abnehmen
dera xalî	einsamer Ort
derabe	Geländer
derabe	Gitter
derabe	Podest
derabe	Zaun
derabe	Zwischenraum
deramet	Gewinn
deranîn	abschätzen
deranîn	auslassen
deranîn	herausbringen
deranîn	herausholen
deranîn	herausnehmen
deranîn	übergehen
deranîn <der...în>	herausbringen
deranîn <der...în>	herausholen
deranîn <der...în>	hervorbringen
derav	Geländer
derav	Gitter
derav	Kanal
derav	Podest
derav	Wäschen
derav	Wasserabzugsgraben
derav	Wassergraben
derav	Zaun
derav	Zwischenraum
derb	Schlag
derb	Schuss
derb	Stoß
derb	Zeitpunkt
derb lê xistin	schaden
derb lê xistin	verletzen
derbas bûn	vergehen
derbas bûyîn	vorbeigehen
derbas kirin	übersetzen (über den Fluß)
derbas kirin	verbringen
derbasbûn	übertreffen
derbaz bûn	ablaufen
derben	Garderobe
derbirin	ausdrücken
derbûn	aufbrechen
derbûn	auftauchen
derbûn	erscheinen
derbûn	zum Vorschein kommen
derçik	Schwelle
derçûn	ausgehen
derçûn [mê]	Ausfahrt
derçûn [mê]	Ausgang
derd	Angelegenheit
derd	Krankheit
derd	Kummer
derd	Leid
derd	Schmerz
derd	Schwermut
derd	Sorge
derd	Traurigkeit
derd	Verwundung
derd kişandin	Kummer ertragen
derd kişandin	Leid erdulden
derd kişandin	Schmerz erdulden
derdan	verspielen
derdan	verzichten
derdan <der...d>	ausplaudern
derdan <der...d>	enthüllen
derdan <der...d>	verraten
derdekopan	Tetanus
derdestkirin	verhaften
derdê kesekî kişandin	die Launen von jdm aushalten
derdê kesekî kişandin	von jdm gepiesackt werden
derdor	Umgebung
derdor	Umgegend
derece	Grad
derece	Maß
derece	Stufe
derek	unbestimmt
dereke	ausländisch
dereke	auswärtig
dereke	fremd
derence	Treppe
dereng	spät
dereng mayîn	sich verspäten
dereng mayîn	zu spät kommen
dereng/dura	spät/später
derengî	Verspätung
dereva	Außen-
dereva	nach draußen
dereve	Außen-
dereve	nach draußen
derew	Betrug
derew	Lüge
derew kirin	lügen
derewandin	ableugnen
derewçîn	Lügner/in
derewîn	unwahr
derewîn	verlogen
derewkar	Lügner
derewkirin	lügen
derfet	Möglichkeit
derge	Durchgang
derge	Tor
dergeh	Eingang
dergeh	große Tür
dergeh	Tor
dergevan	Portier
dergevan	Torwächter
dergevan	Träger
dergê	große Tür
dergê	Tor
dergistî	Verlobt
dergûş	Krippe
dergûş	Wiege
dergûş	Wiegenkind/er
derhatin <dertê>	herauskommen
derheq	betreffend
derheq	betreffs
derheq	über
derhêner	Regisseur
derhûd	Bürge
derhûde	Bürgschaft
derhûdname	Bürgschaftsdokument
derizandin	spalten
derizîn	gespalten werden
derî	Ausgang
derî	Pforte
derî	Tür
derî kutandin	anklopfen
derîn	Ausgang
derkenar	Anekdote
derketin	Ausgang
derketin	ausgehen
derketin	herauskommen
derketin	hinaufgehen
derketin	hinausgehen
derketin	hinauswerfen
derketin holê	entstehen
derketin holê	sich ergeben
derketina nêçîrê	jagen
derkirin	ausweisen
derkirin <der...k>	aufdrücken
dermafî	Unrecht
dermale	Haustier
derman	Arznei
derman	Heilmittel
derman	Medikament
derman	Medikamente
derman kirin	behandeln
dermanê kelmêşan	Moskitospray
