###########################
# Lîsteya îngilîzî-kurdî  #
# www.ferheng.org         #
# 5200 peyv               #
# Nûkirin: 2005-07-29     #
# Erdal Ronahî            #
# ferheng@ferheng.org     #
# license: GPL            #
###########################
-yek	an
ecêb	extraordinary
ecêb	funny
ecêb	quizzical
ecêb	remarkable
edet	unit
edilandin	adjust
edilandin	emend
efsane	story
efser	crown
eger	why
egît	bold
egît	brave
egît	courageous
egît	gamy
egît	gritty
egît	plucky
egît	valiant
elektron	electron
elok	turkey
em	we
encam	effect
encam	issue
encam	outcome
encam	result
encam	resultant
encam	results
encam	upshot
encamdan	do
encamdan	execute
encamdan	perform
endam	member
endam	members
endamtî	membership
endîşe	ideology 
endîşe	theory
enî	front
eql	mind
erd	ground
erd	location
erd	locus
erd	place
erd	site
erdhej	earthquake
erdnasî	geology
erdnîgarî	geography
erê	yes
erêkirin	approve
erênî	affirmative
erênî	positive
erk	duty
erk	part
erk	task
erzan	cheap
erzan	inexpensive
eşkere	clear
eşkere	evident
etax	espionage
etax	spy
ev	he
ev	she
ev	this
evîn	love
ew	it
ew	that
ewlehî	confidence
ewlehî	credit
ewlehî	safety
ewlehî	security
ewlehî	trust
ewlekarî	security
ewr	cloud
ewrawî	cloudy
ewşandî	forbidden
ewtîn	bark
ewtîn	bay
ewtîn	yip
extirme	booty
extirme	pillage
eyan	evident
eyar	fur
eyar	pelt
eyar	skin
eylo	eagle
eynî	same
ez	I
ezgerî	reform
ezgerî	repair
ezman	heaven
ezman	sky
ezmûn	essay
ezmûn	exam
ezmûn	experiment
ezmûn	test
ezmûn	trial
ezmûngeh	laboratory
ezmûnî	expertise
ezperest	selfish
êmîş	fruit
êrîş	aggression
êrîş	assault
êrîş	attack
êrîşkirin	aggress
êrîşkirin	assault
êrîşkirin	attack
êşîn	ache
êzing	wood
fa	fa
fare	rat
fayîz	interest (finance)
fayke	sweater
fedî	shame
fedîkirin	blush
fehmkirin	apprehend
fehmkirin	savvy
fehmkirin	understand
fena	as
fena	like
fena	poor
feq	pitfall
feq	trap
fera	pots and pans
feraset	understanding
ferd	person
ferfûr	ceramic
ferfûr	ceramics
ferheng	culture
ferheng	custom
ferheng	dictionary
ferheng	wordbook
ferişteh	angel
ferman	command
ferman	instruction
ferman	order
ferman	prescription
fermî	official
fesal	form
fesal	shape
fêkî	fruit
fêmkirin	apprehend
fêmkirin	savvy
fêmkirin	seize
fêmkirin	take
fêmkirin	understand
fêr	accustomed
fêr	used
fêrbûn <fêr...b>	become accustomed
fêrbûn <fêr...b>	get used to
fêrgeh	school
fêrname	certification
fikir	idea
fikir	ideas
fikirîn	consider
fikirîn	plan
fikirîn	thinking
find	candle
firaq	pots and pans
fireh	broad
fireh	wide
firehî	area
firehî	latitude
firehtir	wider
firk	scarce
firk	seldom
firkandin	chafe
firoke	helicopter
firotin	sell
firotin	vend
fistan	dress
fisû	skunk
fîlm	film
fîqerojk	mushroom
fîrma	firm
fîskanî	little
fîskanî	petite
fîskanî	picayune
fîskanî	small
fodil (Efrîn)	charming
fodil (Efrîn)	pretty
fotografî	photography
ga	bullock
gale	storm
galtefis	lazy
galtefis	sluggard
gan	esprit
gan	soul
gastîn	club
gav	era
gav	instant
gav	moment
gav	time
gazî	call
gazîkirin	call
gaztîn	club
ged	cavity
ged	feature
ged	gap
ged	trait
geda	beggar
geda	mendicant
gef	terrorize
gef	threat
gefîn	threat
gefîn 	threat 
geh	sometimes
gehîştin	come
gel	lot
gel	people
gelek	highly
gelek	lot
gelek	many
gelek	much
gelek	often
gelek	very
gelemper	common
gelemper	general
gelemper	generic
gelemper	public
gelemperî	common
gelemperî	public
gelêrî	anonymous
gelêrî	popular
gelhe	population
gelî	gully
gelwaz	sequence
gelwaz	succession
gemar	black
gemar	dingy
gemar	dirty
gemar	foul
gemar	impure
gemar	smutty
gemar	sordid
gemar	squalid
gemarî	dirty
gemarî	grimy
gemarî	unclean
gencîne	treasure
gendel	lazy
gengaz	possible
gengeşî	discussion
genim	wheat
genî	rotten
genûs	mean
ger	journey
ger	trip
ger	voyage
gerdenî	collar
gerdûn	universe
gerdûn	world
gerdûnî	common
gerdûnî	universal
geremolî	chaos
geremolî	turmoil
gerisandin	bruise
gerînende	director
gerînende	manager
germayî	heat
germjimêr	thermometer
geşedanî	blossom
geşedanî	inflorescence
gevîn	threat
gewre	ample
gewre	big
gewre	grand
gewre	great
gewre	large
gêj	disturbed
gêjenge	eddy
gêjenge	whirlpool
gêjkirin	bewilder
gêjkirin	fuddle
gêrkirin	delay
gêrkirin	put off
gêzer	carrot
gihan	arrive
gihan	attain
gihan	get
gihan	reach
gihandar	living
gihaştin	come
gihiştin	access
gil	clay
gindirandin	roll
gindor	melon
gindor	muskmelon
giramî	respect
giran	difficult
giran	hard
giran	heavy
giranbiha	expensive
giredan	link
girêdayî	bound
girêk	knurl
girfan	pocket
girgîn	angry
girgîn	furious
girgîn	irate
giringahî	importance
giringahî	value
giringî	importance
giringî	value
girîn	cry
girîng	big
girîng	important
girîng	momentous
girîng	weighty
girîngtî	urgency
girnijîn	smile
girov	evidence
girover	rotund
girover	round
girover	sphere
girs	ample
girs	big
girs	grand
girs	great
girs	large
girse	crowd
girt	got
girt	took
girtek	voucher
girtin	catch
girtin	embrace
girtin	hold
girtin	seize
girtin	take
girtî	captured
girtî	close
girtî	off
girtî	taken
girtîgeh	jail
girtîgeh	prison
giştî	common
giştî	general
giya	grass
giya	herbage
giyan	esprit
giyan	ghost
giyandar	living
gîrokirin	defer
gîrokirin	postpone
gîrokirin	suspend
gîsk (Efrîn)	young female goat
goçavik	eyeglasses
gon	color
gong	obscure
gong	vague
gopal	cane
gopal	staff
gopal	stick
gor	grave
gor	sepulcher
gor	tomb
goranî	ballad
goranî	song
gorî	sacrifice
gorî	victim
gosartme	low
got	said
gotar	article
gotar	contribution
gotegot	hearsay
gotegot	rumor
gotin	say
gotin	talk
gotin	word
gotî	told
govan li dadgehê	witness in court
guhar	earring
guharin	change
guhart	changed
guhartin	change
guhdar kirin	listen
guherandin	change
guherîn	alter
guherîn	change
guherrandin	changed
guherrî	changed
guhêztin	carry
guhêztin	convey
guhêztin	relay
guhêztin	transmit
guhlêbûn	hear
guhorrand	changed
guhorrî	changed
gulebûk	weasel
guman	doubt
gumanbarbûn	doubt
gumgumok	lizard
gun	color
guncaw	applicable
guncaw	apposite
guncaw	appropriate
guncaw	apt
guncaw	convenient
guncaw	eligible
guncaw	expedient
guncaw	fit
guncaw	fitting
guncaw	proper
guncaw	relevant
guncaw	suitable
gund	village
gundî	peasant
guneh	evil
guneh	transgression
gunehpêhatin	deplore
gupik	heel
gur	wolf
guran	integrity
guran 	integrity 
gurbizî	action
gurbizî	energy 
gurbizî	vim
gurçik	kidney
gurî	bald
gustîl	ring
guzvan	thimble
gû	feces
gûn	color
gûzan	razor
hacet	agricultural instruments
hacet	tools
hajûtandin	incitation
hajûtandin	stir
hanê	so
hanê	such
hat	came
hat wateya	meant
hatin	come
havil	benefit
havil	interest (finance)
havil	profit
havil	utility
havîn	summer
hawarname	ask for help
hawirde	import
hawirdor	entourage
hawirdor	environs
hay	message
hay	news
haydan	caution
haydan	caution 
heb	unit
hefik	pharynx
heft	seven
hefte	week
hefte	weeks
hejandin	agitate
hejandin	rock
hejandin	shake
hejîn	quake
hejmar	number
hejmar	numbers
hejmartin	count
hejmartin	reckon
heke	if
helal	lawful
helal	legitimate
helal	permitted
helale	tulip
helandin	dissolve
helbest	poem
helbest	verse
helbest	verse 
helîn	fuse
helîn	melt
helo	eagle
helperist	opportunist 
helwest	attitude 
hem	also
hema çi be (jî)	whatever
hember	against
hembêzkirin	embrace
hemet	count on
hemet	depend on
hemser	capable 
hemser	competent
hemû	all
henase	breath
henek	Jock
henek	prank
henek	waggery
heng	regiment
heqê	claimed
her	each
her	every
her dem	always
her dem	ever
her dû	both
her tişt	everything
heraş	maturity of female
herem	area
heremî	local
heremî	regional
herêm	realm
herêmkî	regional
herikîn	flow
herî	mud
herî baş	best
herî mezin	largest
herî xirab	worst
herweha	thus
hes	emotion
hes	feel
hes	feeling
hes	sense
hes	sentiment
hes	voice
hesab	account
hesan	easy
hesan	simple
hesibandin	calculate
hesin	iron
hesinkar	blacksmith
hesinkar	forger
hesk	dipper
hesk	ladle
hesp	horse
hest	emotion
hest	feeling
hest	sentiment
hestî	bone
hestîn	feel
hestpêkirin	feel
heşt	eight
heta	by
hetîketî	scandal
hetwan	ointment
hetwan	unguent
heval	companion
heval	friend
heval	friends
hevalê xort	boyfriend
hevbeş	common
hevbeş	joint
hevçerx	contemporary
hevçerx	modern
hevdem	contemporary
hevdem	modern
hevdîtin	meet
hevkêş	balance
hevkêş	equal 
hevok	sentence
hevpar	common
hevpar	contribution
hevpar	copartner
hevpar	partner
hevparî	contribution
hevser	competent
hevser 	capable 
hevser 	competent
hevsojî	sympathy
hevsojî	sympathy 
hevyaz	preference
hevyaz	preponderance
hewa	air
hewce	necessary
hewce	need
hewce	needful
hewceyî	demand
hewceyî	need
hewez	fun
hewez	hoax
hewez	joke
hewl	effort
hewl	efforts
heya	by
heyam	period
heyber	material
heyber	topic
heyî	given
heyşt	eight
heyv	moon
heyveron	moonlight
hez	love
hez	passion
hez dike	loves
hezandin	shake
hezkirin	like
hezkirin	love
hê	still
hêcet	cover
hêdî	slow
hêdîtir	slower
hêk	egg
hêk	ovum
hêl	side
hêlan <hêl>	allow
hêlan <hêl>	permit
hêldan	permission
hêlî	glass
hêlî	mirror
hêlî	reflector
hêlîn	nest
hêma	symbol
hêman	component
hêman	constituent
hêman	element
hêman	facto
hêmî	humidity
hêmî	wet
hêncet	cover
hênik	chilly
hênik	cool
hênikkirin	cool
hêrs	nerve
hêsabûn	repose
hêsabûn	rest
hêsan	cushy
hêsan	facile
hêsir	tear
hêş	beach
hêş	seaside
hêviş	end
hêviş	finish
hêvî	hope
hêwî	humidity
hêwî	wet
hêz	energy
hêz	force
hêz	power
hêz	strength
hêz	vigor
hêz	vis
hêzên asayîş	security forces
hibr	ink
hikûmet	government
hilanîn	cache
hilawestin	hang
hilawestin	suspend
hilberandin	produce
hilberîn	produce
hilberîn	production
hilberîner	producer
hilbijartin	election
hilbijartin	elections
hilketin	rise
hilm	fume
hilm	steam
hilm	vapor
hilm	vapor 
himbêz kirin	embrace
hinar	pomegranate
hinarde	export
hinare	message
hinartin	forward
hinartin	send
hinartin	transmit
hind	destination
hind	direction
hind 	direction 
hindik	few
hinek	some
hinek	somewhat
hingiv	honey
hingulîsk	ring
hinguv	honey
hinkuf	capable 
hinkuf	competent
hiqûq	law
hirî	wool
hirmî	pear
hişk	firm
hişk	hard
hizir	sensation
hizrîn	consider
hizrîn	plan
hîç	never
hîdrojen	hydrogen
hîm	base
hîm	basic 
hîm	basis
hîn	still
hîn	yet
hîna	still
hîv	moon
hogir	friend
hoker	adverb (gra.)
hoker	situation
hol	field
hol	plaza
hol	space
holman	conscience
hov	ferocious
hukûmet	authority
hundir	inner
hundir	inside
hundir	interior
hundir	inward
hundirîn	inward
huner	art
huner	dexterity
huner	skill
huner	trick
hunerwer	skillful
hûr	little
hûr	petite
hûr	picayune
hûr	small
hûrbijer	finical
hûrbijer	finicking
hûrbîn	microscope 
im	am
irq	descent
irq	genealogy
irq	lineage
î	are
îcad	invention
îlahiyat	theology
îlon	september
îmze	signature
îmzekirî	signed
înkar	renounce
îro	today
îsot	pepper
îspat	evidence
jan	pain
jehr	poison
jehrîn	venomous
jeolojî	geology
jê kirin	cut
jêbartin	compensation
jêbir	rubber
jêgir	source
jêhatî	adroit
jêhatî	clever
jêhatî	deft
jêhatî	expert
jêhatî	skillful
jêkirin	disrupt
jêkirin	rupture
jêkirin	tear
jêr	bottom
jêr	down
jêr	under
jêrîn	down
ji	from
ji	of
ji	than
ji ... re	to
ji ber ku	because
ji ber vê	therefore
ji bîr kirin	forget
ji bo	for
jidil	serious
jidil	staid
jimar	number
jimar	numbers
jimare	figure
jimare	number
jin	wife
jin	woman
jin	women
jixwe	already
jiyan	life
jiyî	lived
jiyîn	exist
jî	also
jî	life
jî	lifetime
jî	too
jîn	existence
jîndar	alive
jîndar	living
jîngeh	environment
jîngeh	milieu
jîr	bright
jîr	intelligent
jîrî	brain
jîrî	mind
jor	above
jor	up
jûnî	knee
jûr	room
jûvan	regret
ka	straw
kabra	fellow
kabra	man
kal	old
kal	scabbard
kal	sheath
kalik	ancestor
kalik	forefather
kalik	gaffer
kam	desire
kamne	end
kamne	intention
kan	metal
kanî	source
kapasîte	capacity
kar	benefit
kar	gain
kar	job
kar	matter
kar	profit
kar	task
kar	work
kar	works
kar kir	workes
karbest	holiday
karbest	vacation
kare	square
karesat	disaster
karesat	tragedy
kargeh	factory
karger	director
karger	manager
kargerandin	administer
kargerî	administration
kargerî	management
karistan	factory
karistan	mill
karistan	plant
karîger	effective
karîger	efficacious
karîger	potent
karker	workers
kart	card
kartêkirin	influence
kartol	potatoes
karûbar	employment
karûbar	job
karûbar	ministration
karûbar	office
karûbar	service
karûbar	task
kaselîs	mercenary 
kaş	ascent
kaş	mount up
kat	time
kat	times
kat	while
katjimêr	timepiece
katjmêr	hour
kavil	ruins
kavir (Efrîn)	young female sheep
kaxiz	paper
keç	daughter
keç	girl
keçbanû	unmarried woman
keçel	bald
ked	labor
ked	work
kedî	domestic
kefgîr	filter
kefgîr	strainer
keftin	fall
kej	fair
kejal	blonde
kelandin	boil
kelandin	brew
kele	wall
keleh	wall
kelepor	heritage
kelepor	inheritance
kelevajî	mockery
kelevajî	ridicule 
kelh	infrequent
kelh	rare
kelh	scarce
kelhe	wall
kelk	benefit
kelk	profit
kelk	utility
kemîn	ambush
ken	laughter
kend	ditch
kend	fosse
kend	trench
kend	valley
kendav	gulf
kendûkoz	terrain
kenîn	laugh
ker	donkey
kerane	rich
kerane	wealthy
kerisandin (Efrîn)	tantalize
kerî	herd
kert	piece
kertek	abundant
kertek	ample
kertek	copious
kertek	large
kertek	plenteous
kertek	rich
kertek	right
kertek	unsparing
kertek	very
kerxur	vulture
kes	person
kes	someone
keser	woe
kesirandin	depress
kesirandin	disturb
keslan	lazy
keslan	sluggard
ket	clover
ket	trefoil
ketin	fall
ketin	tumble
ketwar	actuality
ketwar	reality
keval	table
kevan	bracket
kevî	border
kevî	brim
kevî	edge
kevî	fringe
kevî	margin
kevî	side
kevî	verge
kevjal	crab
kevn	ancient
kevn	old
kevnare	antique
kevneşopî	tradition
kevok	pigeon
kew	partridge
kewar	store
kewar	storehouse
kewar	warehouse
key	king
keya	chief (for villages)
keya	mayor
keybanû	queen
kêç	flea
kêf	delight
kêf	pleasure
kêf	treat
kêlek	beside
kêlek	side
kêlîk	era
kêlîk	moment
kêlîk	time
kêm	defect
kêm	few
kêm	inadequate
kêm	insufficient
kêm kirin	reduce
kêmasî	blemish
kêmasî	defect
kêmasî	error
kêmasî	failing
kêmasî	fault
kêmasî	flaw
kêmasî	mistake
kêmasî	shortcoming
kêmasî	slip
kêmî	deficiency
kêmkirin	abate
kêmkirin	attenuate
kêmkirin	decrease
kêmkirin	derogate
kêmkirin	diminish
kêmkirin	lessen
kêmkirin	reduce
kêmtir	less
kêmzêde	average
kêr	function
kêr	suitable
kêr 	suitable
kêrsek (Efrîn)	block
kêrsek (Efrîn)	hunk
kêrsek (Efrîn)	lump
kês	suitable
kêşa	agony
kêşa	torment
kêşa 	agony
kêşa 	torment
kêşan	weight
kilam	ballad
kilam	song
kils	lime
kimt	peak
kimt	summit
kimt	zenith
kin	compendious
kin	short
kinc	dress
kincjixwekirin	strip
kinêzet	series
kinêzet	succession
kingê	when
kir	did
kirêt	black
kirêt	dingy
kirêt	dirty
kirêt	foul
kirêt	impure
kirêt	smutty
kirêt	sordid
kirêt	squalid
kirin	do
kirin	make
kirin	perform
kirin	produce
kirî	done
kirîn	buy
kiryar	application
kiryar	exercise
kizav	effort
kizav	effort 
kîjan	what
kîjan	which
kîl	dough of pottery
kîn	malice
kîn	spite
kîr	penis
kîs	billfold
kîs	wallet
kîte	paragraph
klavye	keyboard
koç	transmigration
kolan	avenue
kolan	street
koldan	compromise
kole	slave
kom	bank
kom	clique
kom	cluster
kom	group
kom	lot
komar	republic
komel	association
komel	society
komele	association
komele	club
komeleyatî	social
komîsyon	commission
komkirin	collect
komkirin	cumulate
komkirin	garner
komkirin	gather
komkirin	save
komputer	computer
komunîzm	communism
kone	cunning
kone	cute
kone	foxy
kone	leery
kone	shrewd
kongre	congress
konsey	council
kontrol	control
kopya	copy
kor	blind
kor	sightless
koro	chorus
kotî	leprosy
kovar	journal
kovar	journals
kovar	magazine
kovar	periodical
kovik	funnel
kovî	feral
kovî	savage
kovî	wild
kredî	credit
ku	that
ku	where
ku	which
kujer	murderer
kul	woe
kulab	claw
kulab	hook
kulek	chimney
kulek	funnel
kulî	grasshopper
kulî	locust
kulîçe	cake
kulîlk	flower
kulîn	limp
kulm	fist
kum	cap
kumbet	peak
kumbet	summit
kumbet	zenith
kumik	mushroom
kunîle	pores
kurt	compendious
kurt	concise
kurt	short
kurte	summary
kurtepist	whisper 
kurteya absolute	A.
kurteya academy	A.
kurteya acre	A.
kurteya America [n]	A.
kurteya angstrom unit	A.
kurteya anno (= year)	A.
kurteya artillery	A.
kurtkirin	abridge
kuta	end
kuta	ending
kuta	expiration
kuta	finish
kuta	issue
kuta	result
kuta	tail
kuta	upshot
kutabûn	cease
kutabûn	conclude
kutabûn	end
kutahî	end
kutahî	ending
kutahî	expiration
kutahî	finish
kutahî	tail
kutakirin	finish
kutan	batter
kutan	beat
kutan	knock
kutan	pommel
kutan	rap
kutan	thrash
kutan	whack
kutuk	profile for persons
kuvark	mushroom
kuxik	cough
kûçe	avenue
kûçe	street
kûçik	dog
kûlîlk	flowers
kûr	deep
kûrahî	depth
kûrahî	profundity
kûtî	dog
la (not)	A (mus.)
laf	talk
laf (Efrîn)	big lie
lal	dumb
laqir	Jock
laqir	prank
laqir	waggery
lar	feeble
lar	weak
lar 	feeble
lar 	weak
lasakirin	imitate
lasakirin	mimic
laser	flood
laş	body
lawij	ballad
lawij	song
lawik	boy
lazer	laser
lebat	motion
lebat	move
lebat	movement
lebat	organ
lebat	stir
leheng	brave
leheng	courageous
lemper	salver
lemper	tray
lengergeh	harbor
lengergeh	port
lengergeh	wharf
lepik	glove
lerizîn	quake
lerizîn	quiver
lerizîn	vibrate
leş	bodies
lewitandin	pollute
lewitandin	soil
lewre	because
lewre	since
leyîstin	games
leyîstin	play
leyîstok	toy
lê	but
lê	however
lê	just
lê	mere
lê	only
lê belê	although
lê belê	however
lêanîn	adapt
lêanîn	adjust
lêanîn	assimilate
lêanîn	match
lêanîn	suit
lêbezîn	batter
lêbezîn	beat
lêbezîn	pommel
lêbezîn	whack
lêborîn	excuse
lêborîn	pardon
lêçûn	expenditure
lêçûn	expense
lêdan	batter
lêdan	beat
lêdan	knock
lêdan	pommel
lêdan	rap
lêdan	whack
lêgerîn	check
lêgerîn	search
lêgerîn	study
lêguncîn	correspond
lêker	verb
lêkolîn	research
lêkolîn	study
lênihêrîn	survey
lêp	dodge
lêp	ruse
lêp	trick
lêpan	surveillance
lêpan	surveillance 
lêpirsîn	query
lêv	lips
lêv	strand
lêxistin	batter
lêxistin	beat
lêxistin	knock
lêxistin	pommel
lêxistin	rap
lêxistin	whack
lêz	speed
lêzim	relation
lêzim	relative
li	at
li ku derê	where
li vê derê	here
li wê derê	there
lib	unit
libergerîn	pray
lidarxistin	organize
ligel	common
ligel	together
lihevcivîn	assemble
lihevcivîn	meet
lijne	commission
ling	leg
ling	legs
liq	section
liq	segment
lîk	mucus
lîmon	lemon
lîst	played
lîste	list
lîstik	game
lîstik	play
lîstok	game
lîstok	plaything
lîstok	toy
lîz	game
lorî	lullaby
lotik	jump
lotik	skip
lotik	spring
lûtke	apex
lûtke	cusp
lûtke	peak
lûtke	pinnacle
lûtke	tip
lûtke	top
mader	mother
maf	claim
maf	justice
maf	privilege
maf	right
makezagon	constitution
mal	abundance
mal	affluence
mal	home
mal	property
mal	wealth
malbat	family
maldar	rich
maldar	wealthy
malgirtin	monopolize 
malkambax	grieved 
malketî	bankrupt
malpar	company
malpar 	company
malper	web site
mam	uncle
mamik	quiz
mamoste	teachers
man	remain
man	rest
man	stay
mand	future
mand	futurity
mandel	disown
mandel	renounce
mandî	tired
mandî	weary
manend	alike
manend	same
mange	cow
mangêrkirin	comb
mar	marriage
mar 	marriage 
margîse	chameleon
mase	table
masî	fish
masûlke	muscle
mawe	duration
mawe	length
mayîn	remain
mayîn	rest
mayîn	stay
mayînde	continuous
me	our
me	us
mebest	goal
mebest	intent
mebest	intention
mebest	purpose
mebest bû	meant
mefsik	colander
mefsik	sieve
meh	month
meh	months
mehane	excuse
mehane	pretext
melaje	almond
melaje (bijîşkî)	almond (medicine) 
melavî	effort
melavî	effort 
melek	angel
melevanî	flotage
melevanî	swimming
melhem	application
mengîwerî	idealism
menzel	chamber
menzel	room
mer	waist
meraze	quagmire
meraze	quagmire 
meraze	swamp
mered	window
mesafe	distance
mesqelkirin	burnish
mesqelkirin	polish
mest	drunken
mest 	drunken
meşe	jungle
metal	metal
metîn	daybreak
metod	manner
metod	procedure
metre	metre
mewda	distance
meynevî	morale
meyrek	larva
meyzandin	look
meyzandin	watch
mezin	big
mezin	great
mezin	large
mezin kirin	larger
mezinahî	size
mezinbûn	increase
mezinbûn	wax
mezintir	greater
mezixandin	corruption
mêd	mood
mêj	ancient
mêj	anterior
mêj	former
mêj	old
mêjî	buttonhole
mêjû	history
mêjû	story
mêkut	hammer
mêr	fellow
mêr	husband
mêr	man
mêrandin	evince
mêrandin	exhibit
mêrandin	expose
mêrandin	indicate
mêrandin	offer
mêrandin	point
mêrg	grass
mêrg	meadow
mêrkuj	assassin
mêrkuj	murder
mêrxas	bold
mêrxas	brave
mêrxas	courageous
mêrxas	gamy
mêrxas	gritty
mêrxas	plucky
mêrxas	valiant
mêş	action
mêş	bee
mêş	energy 
mêş	fly
mêş	vim
mêtin	absorb
mêtin	imbibe
mêvan	guest
mêze kirin	look
miftî	free
miftî	free 
mijar	issue
mijar	subject
mijar	theme
mijar	topic
mil	arm
mil	shoulder
mildan	surrender
mildan	yield
min	me
min	my
minet	an interest
minet	care of
minê	investigate
minê	search
mir	died
mirin	death
mirî	dead
mirov	human
mirov	man
mirtik	dregs
mirtik	sediment
misîn	pitcher
misoger	confirm
misoger	guarantee
mist	handful
mişar	basin
mişk	mice
mixtar	chief (for villages)
mixtar	mayor
mizgeft	mosque
mîgel	herd
mîna	akin
mîna	alike
mîna	as
mîna	like
mîna	same
mîna	similar
mîna 	alike
mînak	example
mînak	instance
mînak	model
mînak	paradigm
mînak	pattern
mînak	patterns
mînak	sample
mînak	specimen
mîr	prince
mîrok	larva
mîrza	prince
mîsoger	certain
mîsoger	sure
mîsoger	surely
mon	serious
mon	staid
monarşî	monarchy
mone	abhor
mone	detest
morî	ant
mozan	honey
mujikî	black
mujikî	dingy
mujikî	dirty
mujikî	foul
mujikî	impure
mujikî	smutty
mujikî	sordid
mujikî	squalid
muzîk	music
muzîkjen	musician
mûçe	fee
mûçe	wage
mûle	mud
mûze 	antique
mûze 	masterpiece
na	no
nadar	disown
nadar	renounce
nagihan	surprise
name	letter
name	post
namzed	candidate
namzed	nominator 
nan	bread
nan	food
nan	meal
nankor	disloyal
nankor	ungrateful
nanpêj	baker
naqos	bell
nasîn	recognize
nasyar	friend
nasyarî	amity
nav	among
nav	inside
nav	into
nav	inward
nav	mid
nav	name
nav	names
nav	title
navber	between
navdar	celebrated
navdar	famous
navdar	illustrious
navdar	substantive
navend	center
navend	centre
navend	centres
navend	heart
navendî	central
navendî	centrical
naverast	center
naverast	centre
naverast	middle
naverok	contents
navhatiyek	nominator 
navik	paunch
navîn	middle
navlêk	term
navnîşan	address
navok	atomic
navteng	flank
nax	bottom
ne	not
ne wek	unlike
neasayî	anomalous
nebat	plant
nebat	vegetable
nebez	bold
nebez	fearless
necar	joiner
nediyar	indefinite
nediyar	unclear
nefel	clover
nefel	trefoil
nefret	abhor
nefret	detest
nefret kirin	dislike
neheng	crocodile
neheng	whole
nehên	secret
nehênî	secret
neks (nexweşî)	asthma disease
nema	never
nemir	eternal
nemir	everlasting
nemir	perpetual
nemrût	ill
nenas	unknown
nepenî	cryptic
nepenî	occult
nepenî	secret
nepenî	undercover
nepixandin	exaggerate
nepixandin	overplay
nepox	balloon
neqandin	cull
neqandin	gather
neqandin	pick
nerin	look
nerm	soft
neşayîst	ill-gotten
neşayîst	taboo
netewe	nation
neteweyî	national
netêw	invalid
netêw	null
netêw	void
nevî	grandchild
nevî	grandson
newa	melody
newaz	rare
newaz	scarce
newêrek	shy
nex	filament
nex	thread
nexwe	consequently
nexwe	then
nexweş	patients
neyar	enemy
neyar	foe
neyênî	negative 
neynûk	nail
nezirkirin	dedicate
nezirkirin	devote
nezîk	near
nezok	infertile
nêr	masculine
nêreng	juggler
nêreng	magician 
nêrevanî	reconnoiter
nêrin	views
nêrî (ramanî, heawyî, avî)	current (political, water, air)
nêrîn	look
nêrîn	view
nêrîn	watch
nêzî	nearly
nêzîktir	closer
nifir	curse
nifir	malediction
nifş	generation
niftik	match
niha	just
niha	now
niha	presently
nihad	conscience
nihal	gully
nihartin	sent
nijde 	gang criminals
nimandin	represent
nimre	numbers
nimûne	copy
nimûne	example
nimûne	instance
nimûne	model
nimûne	pattern
nimûne	patterns
nimûne	sample
nimûne	specimen
niqut	drop
niqutîn	drip
niqutîn	drop
nirx	value
nirx	values
nişîv	declivity
nişîv	slope
niştecî	population
nitir	embroidery
nivandin	hypnotizing
nivar	modern
nivîn	bed
nivîs	writing
nivîsgeh	bureau
nivîsgeh	office
nivîskar	author
nivîskar	writer
nixamtin	cover
niximandin	cover
nixumandin	cover
nizm	low
nizmandin	lower
nîgah	inspiration
nîgah	revelation
nîgar	draw 
nîgar	model
nîgaşî	virtual
nîjad	descent
nîjad	genealogy
nîjad	lineage
nîjadperestî	racism
nîqaş	debate
nîqaş	discussion
nîsk	lentil
nîşan	mark
nîşan da	showed
nîşan dan	show
nîv	half
nîvqadbir	equater
nîvreng	fade
nîvreng	weared out
nola	as
nola	like
nolî	as
nolî	like
normal	normal
not	note
not	notes
nuwaze	excellent
nuwaze	miraculous
nuwaze	wonderful
nû	fresh
nû	modern
nû	new
nû	novel
nû	original
nû	recent
nûçe	news
nûjen	modern
nûrkirin	fold
nûser	author
nûser	writer
ode	chamber
ode	room
ode	service
ofîs	office
ol	faith
ol	religion
olçim	garrulous
oldar	religious
operasyon	operations
pace	window
paçkirin	buss
paçkirin	kiss
paçvan	interpreter
paîz	fall
pak	clean
pak	cleanly
pakar	servant
pakkirin	clean
pakûj	clean
pakûj	clear
paldan	lie
paldank	support
paldêr	entice
paldêr	seduce
palîn	purify
palîn	refine
pan	plain
pan	surveillance
pan	surveillance 
panî	heel
paqij	clean
paqij	cleanly
paqijkirin	clean
paqijkirin	clear
paqijkirin	purge
paqijkirin	purify
paqijkirin	scavenge
par	back
par	share
parastin	guard
parastin	protect
parastin	secure
parçe	section
parçe	share
parêz	diet
parêz	regimen
parêzer	advocate
parêzer	attorney 
parêzer	barrister
parêzer	lawyer
parêzgeh	province
parêzname	apologia
parkirin	distribute
parkirin	divide
parsek	beggar
parsek	mendicant
parsû	rib
partî	party
parxone	muscle
parzemîn	continent
parzîn	purify
parzîn	refine
parzûn	filter
parzûn	strainer
pastîn	collar
paş	back
paşêroj	past
paşve	back
paşveanîn	bring back
paşveanîn	take back
pat	equal
paydar	partner
paydoz	holiday
paydoz	vacation
paye	degree
paye	grade
paye	rank
payiz	fall
payîn	anticipate
payîn	await
payîn	expect
payîn	stay
payîn	wait
payîz	autumn
payîz	fall
paytext	capital
